Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231201000802_19918,20231201000802_19918,,,dtlz7,3,5,0,,,,,250,0.585271040276746,1.5351963067951369,0.46615565049869495,290.4310562610626
20231205205500_21131,20231205205500_21131,,,dtlz6,5,5,2,,,0.5,30,70,0.9379229900471256,0.8907795906260879,0.0,119.2737684249878
20231205204758_2632,20231205204758_2632,,,dtlz3,5,5,2,,,0.5,30,70,1.777502489285443,55.71193219663664,0.0,166.4440677165985
20231203180832_6464,20231203180832_6464,,,dtlz7,3,3,2,,,1.0,15,300,0.09855107776970386,0.012239833196183398,1.0785149833835885,1214.8289806842804
20231213224857_uqt8g,20231213224857_uqt8g,2023-12-13 22:49:01,True,dtlz7,3,3,0,0,rate with one time change when fails,0.5,15,50,0.3602225862483038,2.2723606327071306,0.5095496598737752,161.59062385559082
20231203170353_7012,20231203170353_7012,,,dtlz7,3,3,2,,,0.25,15,300,0.12164193529854507,0.016760684959619774,0.9957025154243752,1683.9350380897522
20231213152701_q0idc,20231213152701_q0idc,2023-12-13 15:27:03,True,dtlz1,2,3,0,0,continuous change when fails,0.2,11,250,0.013211406502109781,0.014043031598729471,0.2275743426222192,961.7818102836609
20231213223804_i9797,20231213223804_i9797,2023-12-13 22:38:07,True,dtlz1,2,3,4,0,rate with continuous change when fails,0.4,11,250,0.09168918470432502,0.0030156209229256965,0.20078837054033913,992.3381383419037
20231213225214_7lqdj,20231213225214_7lqdj,2023-12-13 22:52:18,True,dtlz7,3,3,4,0,rate with one time change when fails,0.5,15,50,0.5768560005595088,0.04679400807013576,0.3951153107075719,27.945770263671875
20231213170415_76uq9,20231213170415_76uq9,2023-12-13 17:04:17,True,dtlz1,2,3,0,0,continuous change when fails,0.6,11,250,0.01985645860847242,0.0020343648682749726,0.2276363339031418,951.7215521335602
20231206004946_28940,20231206004946_28940,,,dtlz2,3,3,3,,,0.5,15,250,0.07756693844420985,0.03532379410415636,0.711015863138016,1254.136253118515
20231206165636_23381,20231206165636_23381,,,dtlz7,3,3,3,,,0.5,15,300,0.28331732466490095,0.008243400479048065,0.7752010762095074,2276.734703540802
20231206023243_14562,20231206023243_14562,,,dtlz3,3,3,2,,,0.5,15,250,0.22820676329354117,0.032460195360351406,0.5518066696549926,1068.8413183689117
